Index,vccs_course,vt_course,uva_course,gmu_course
0,CHM 101,CHEM 1015 + CHEM 1025,CHEM 1210 ,CHEM 103
1,CHM 102,No Equivalency,CHEM 1500 ,CHEM 104
2,CHM 110,CHEM 1015,CHEM 1005T ,CHEM Elective
3,CHM 111,CHEM 1035 + CHEM 1045,CHEM 1410 ,CHEM 213 & CHEM 211
4,CHM 112,CHEM 1036 + CHEM 1046,CHEM 1000T  OR CHEM 1420 ,CHEM 214 & CHEM 212
5,CHM 113,No Equivalency,CHEM 1410 ,No Equivalency
6,CHM 114,No Equivalency,CHEM 1420 ,No Equivalency
7,CHM 121,CHEM 1015 + CHEM 1025,CHEM 1210 ,CHEM 103
8,CHM 122,No Equivalency,CHEM 1220 ,CHEM 104
9,CHM 125,CHEM Elective,No Equivalency,CHEM Elective
10,CHM 126,CHEM 1035 + CHEM 1045,No Equivalency,CHEM 251
11,CHM 129,No Equivalency,No Equivalency,CHEM 155
12,CHM 130,No Equivalency,No Equivalency,CHEM 156
13,CHM 135,No Equivalency,CHEM 2000T ,No Equivalency
14,CHM 140,No Equivalency,CHEM 2000T ,No Equivalency
15,CHM 150,No Equivalency,CHEM 2000T ,No Equivalency
16,CHM 190,No Equivalency,No Equivalency,GENL Elective
17,CHM 195,No Equivalency,No Equivalency,CHEM Elective
18,CHM 241,CHEM 2535,CHEM 2410 ,CHEM L313
19,CHM 242,CHEM 2536,CHEM 2420 ,CHEM L314
20,CHM 243,No Equivalency,CHEM 2411 ,CHEM Elective
21,CHM 244,No Equivalency,CHEM 2421 ,CHEM Elective
22,CHM 245,CHEM 2545 + CHEM Elective,CHEM 2311 ,CHEM L315
23,CHM 246,CHEM 2546 + CHEM Elective,CHEM 2321 ,CHEM L318
24,CHM 251,No Equivalency,CHEM 2000T ,No Equivalency
25,CHM 252,No Equivalency,CHEM 2000T ,No Equivalency
26,CHM 255,No Equivalency,CHEM 2000T ,No Equivalency
27,CHM 260,BCHM 2024,CHEM 4440 ,CHEM Elective
28,CHM 261,CHEM Elective,No Equivalency,No Equivalency
29,CHM 290,No Equivalency,No Equivalency,CHEM Elective
30,CHM 293,CHEM Elective,No Equivalency,No Equivalency
31,CHM 295,CHEM Elective,No Equivalency,CHEM Elective
32,CHM 296,No Equivalency,No Equivalency,No Equivalency
33,CHM 297,No Equivalency,No Equivalency,No Equivalency
34,CHM 298,CHEM Elective,No Equivalency,No Equivalency
35,CHM 299,No Equivalency,No Equivalency,No Equivalency
36,CSC 110,CS 1014,CS 1010 ,CS 100 & IT 103
37,CSC 130,No Equivalency,No Equivalency,CS Elective
38,CSC 155,No Equivalency,No Equivalency,IT 103
39,CSC 185,No Equivalency,No Equivalency,CS Elective
40,CSC 190,No Equivalency,No Equivalency,GENL Elective
41,CSC 195,No Equivalency,CS 1000T ,CS Elective
42,CSC 196,No Equivalency,No Equivalency,No Equivalency
43,CSC 197,No Equivalency,No Equivalency,No Equivalency
44,CSC 198,No Equivalency,No Equivalency,No Equivalency
45,CSC 199,No Equivalency,No Equivalency,No Equivalency
46,CSC 200,No Equivalency,No Equivalency,CS Elective
47,CSC 201,No Equivalency,No Equivalency,CS 112
48,CSC 202,No Equivalency,No Equivalency,CS 211
49,CSC 205,CS 2505 + CS Elective,CS 2000T ,CS Elective
50,CSC 206,No Equivalency,No Equivalency,CS Elective
51,CSC 208,MATH 2534,CS 2120 ,MATH 125
52,CSC 210,CS 1044 OR CS 1044 + CS Elective,CS 2000T ,CS Elective
53,CSC 215,CS 2505 + CS Elective,CS 2130 ,CS Elective
54,CSC 221,CS 1064,CS 1110 ,CS 108
55,CSC 222,CS 1114 + CS Elective,CS 2000T ,CS 112
56,CSC 223,CS 2114 + CS Elective,CS 2100 ,CS 211
57,CSC 290,No Equivalency,No Equivalency,CS Elective
58,CSC 295,No Equivalency,CS 2000T ,CS Elective
59,CSC 296,No Equivalency,No Equivalency,No Equivalency
60,CSC 297,No Equivalency,No Equivalency,No Equivalency
61,CSC 298,No Equivalency,No Equivalency,No Equivalency
62,CSC 299,No Equivalency,No Equivalency,No Equivalency
63,CSC 90,No Equivalency,No Equivalency,No Equivalency
64,CSC 95,No Equivalency,CS 1000T ,No Equivalency
65,CSC 97,No Equivalency,No Equivalency,No Equivalency
66,CSC 98,No Equivalency,No Equivalency,No Equivalency
67,CSC 99,No Equivalency,No Equivalency,No Equivalency
68,EGR 100,ENGR Elective,No Equivalency,UNIV Elective
69,EGR 110,No Equivalency,MAE 2040 ,ME Elective
70,EGR 111,No Equivalency,No Equivalency,ENGR Elective
71,EGR 112,No Equivalency,No Equivalency,ENGR Elective
72,EGR 115,No Equivalency,MAE 2040 ,ENGR Elective
73,EGR 120,ENGE Elective,No Equivalency,ENGR 107
74,EGR 121,ENGE 1215,ENGR 1010 ,ENGR 107
75,EGR 122,ENGE 1216 + ENGE Elective,ENGR 1010 ,ME 151
76,EGR 124,No Equivalency,No Equivalency,ENGR Elective
